x,y,vx,vy,Paddle.y
1180,300,-15,-15,300
1180,300,15,-15,300
1180,300,-15,-15,300
1180,300,15,-15,300
1180,300,-15,-15,300
1180,300,15,-15,300
1180,300,-15,-15,300
1180,300,15,-15,300
1180,300,-15,-15,300
1180,300,15,-15,300
1180,300,-15,-15,300
1180,300,15,-15,300
1180,300,-15,-15,506
1165,285,-15,-15,487
1150,270,-15,-15,466
1135,255,-15,-15,443
1120,240,-15,-15,424
1105,225,-15,-15,419
1090,210,-15,-15,409
1075,195,-15,-15,380
1060,180,-15,-15,345
1045,165,-15,-15,321
1030,150,-15,-15,300
1015,135,-15,-15,291
1000,120,-15,-15,291
985,105,-15,-15,291
970,90,-15,-15,291
955,75,-15,-15,291
940,60,-15,-15,291
925,45,-15,-15,291
925,45,-15,15,291
910,60,-15,15,291
895,75,-15,15,291
880,90,-15,15,291
865,105,-15,15,291
850,120,-15,15,291
835,135,-15,15,291
820,150,-15,15,293
805,165,-15,15,298
790,180,-15,15,303
775,195,-15,15,312
760,210,-15,15,321
745,225,-15,15,332
730,240,-15,15,345
715,255,-15,15,356
700,270,-15,15,364
685,285,-15,15,374
670,300,-15,15,383
655,315,-15,15,391
640,330,-15,15,408
625,345,-15,15,418
610,360,-15,15,418
595,375,-15,15,418
580,390,-15,15,418
565,405,-15,15,418
550,420,-15,15,421
535,435,-15,15,421
520,450,-15,15,421
505,465,-15,15,421
490,480,-15,15,421
475,495,-15,15,421
460,510,-15,15,421
445,525,-15,15,421
430,540,-15,15,421
415,555,-15,15,421
415,555,-15,-15,421
400,540,-15,-15,421
385,525,-15,-15,421
370,510,-15,-15,421
355,495,-15,-15,421
340,480,-15,-15,421
325,465,-15,-15,426
310,450,-15,-15,434
295,435,-15,-15,440
280,420,-15,-15,441
265,405,-15,-15,441
250,390,-15,-15,441
235,375,-15,-15,441
220,360,-15,-15,441
205,345,-15,-15,441
190,330,-15,-15,441
175,315,-15,-15,441
160,300,-15,-15,441
145,285,-15,-15,441
130,270,-15,-15,441
115,255,-15,-15,441
100,240,-15,-15,441
85,225,-15,-15,441
70,210,-15,-15,441
55,195,-15,-15,441
40,180,-15,-15,441
40,180,15,-15,441
55,165,15,-15,441
70,150,15,-15,441
85,135,15,-15,441
100,120,15,-15,440
115,105,15,-15,439
130,90,15,-15,437
145,75,15,-15,435
160,60,15,-15,433
175,45,15,-15,427
175,45,15,15,420
190,60,15,15,413
205,75,15,15,407
220,90,15,15,404
235,105,15,15,401
250,120,15,15,398
265,135,15,15,396
280,150,15,15,389
295,165,15,15,385
310,180,15,15,380
325,195,15,15,375
340,210,15,15,374
355,225,15,15,374
370,240,15,15,374
385,255,15,15,375
400,270,15,15,384
415,285,15,15,391
430,300,15,15,394
445,315,15,15,399
460,330,15,15,400
475,345,15,15,400
490,360,15,15,398
505,375,15,15,395
520,390,15,15,391
535,405,15,15,387
550,420,15,15,384
565,435,15,15,382
580,450,15,15,378
595,465,15,15,374
610,480,15,15,370
625,495,15,15,369
640,510,15,15,366
655,525,15,15,365
670,540,15,15,363
685,555,15,15,360
685,555,15,-15,357
700,540,15,-15,353
715,525,15,-15,350
730,510,15,-15,344
745,495,15,-15,339
760,480,15,-15,334
775,465,15,-15,330
790,450,15,-15,324
805,435,15,-15,316
820,420,15,-15,307
835,405,15,-15,291
850,390,15,-15,276
865,375,15,-15,261
880,360,15,-15,251
895,345,15,-15,243
910,330,15,-15,236
925,315,15,-15,231
940,300,15,-15,225
955,285,15,-15,219
970,270,15,-15,209
985,255,15,-15,194
1000,240,15,-15,183
1015,225,15,-15,173
1030,210,15,-15,165
1045,195,15,-15,154
1060,180,15,-15,138
1075,165,15,-15,128
1090,150,15,-15,123
1105,135,15,-15,122
1120,120,15,-15,117
1135,105,15,-15,113
1150,90,15,-15,108
1150,90,-15,-15,105
1135,75,-15,-15,103
1120,60,-15,-15,101
1105,45,-15,-15,101
1105,45,-15,15,100
1090,60,-15,15,100
1075,75,-15,15,100
1060,90,-15,15,101
1045,105,-15,15,114
1030,120,-15,15,134
1015,135,-15,15,149
1000,150,-15,15,164
985,165,-15,15,177
970,180,-15,15,187
955,195,-15,15,198
940,210,-15,15,211
925,225,-15,15,226
910,240,-15,15,239
895,255,-15,15,245
880,270,-15,15,251
865,285,-15,15,258
850,300,-15,15,273
835,315,-15,15,291
820,330,-15,15,302
805,345,-15,15,314
790,360,-15,15,327
775,375,-15,15,339
760,390,-15,15,349
745,405,-15,15,355
730,420,-15,15,362
715,435,-15,15,370
700,450,-15,15,378
685,465,-15,15,382
670,480,-15,15,386
655,495,-15,15,391
640,510,-15,15,395
625,525,-15,15,400
610,540,-15,15,410
595,555,-15,15,414
595,555,-15,-15,417
580,540,-15,-15,419
565,525,-15,-15,420
550,510,-15,-15,423
535,495,-15,-15,423
520,480,-15,-15,423
505,465,-15,-15,423
490,450,-15,-15,423
475,435,-15,-15,423
460,420,-15,-15,423
445,405,-15,-15,423
430,390,-15,-15,423
415,375,-15,-15,423
400,360,-15,-15,423
385,345,-15,-15,423
370,330,-15,-15,423
355,315,-15,-15,423
340,300,-15,-15,423
325,285,-15,-15,423
310,270,-15,-15,423
295,255,-15,-15,423
280,240,-15,-15,423
265,225,-15,-15,423
250,210,-15,-15,423
235,195,-15,-15,423
220,180,-15,-15,423
205,165,-15,-15,423
190,150,-15,-15,423
175,135,-15,-15,423
160,120,-15,-15,423
145,105,-15,-15,423
130,90,-15,-15,423
115,75,-15,-15,423
100,60,-15,-15,423
85,45,-15,-15,423
85,45,-15,15,423
70,60,-15,15,423
55,75,-15,15,423
40,90,-15,15,423
40,90,15,15,423
55,105,15,15,423
70,120,15,15,423
85,135,15,15,423
100,150,15,15,423
115,165,15,15,423
130,180,15,15,423
145,195,15,15,423
160,210,15,15,423
175,225,15,15,423
190,240,15,15,423
205,255,15,15,423
220,270,15,15,423
235,285,15,15,424
250,300,15,15,427
265,315,15,15,433
280,330,15,15,438
295,345,15,15,439
310,360,15,15,441
325,375,15,15,441
340,390,15,15,441
355,405,15,15,441
370,420,15,15,441
385,435,15,15,441
400,450,15,15,441
415,465,15,15,441
430,480,15,15,440
445,495,15,15,439
460,510,15,15,438
475,525,15,15,438
490,540,15,15,437
505,555,15,15,436
505,555,15,-15,436
520,540,15,-15,435
535,525,15,-15,434
550,510,15,-15,432
565,495,15,-15,428
580,480,15,-15,425
595,465,15,-15,422
610,450,15,-15,415
625,435,15,-15,408
640,420,15,-15,396
655,405,15,-15,384
670,390,15,-15,373
685,375,15,-15,353
700,360,15,-15,327
715,345,15,-15,303
730,330,15,-15,261
745,315,15,-15,235
760,300,15,-15,213
775,285,15,-15,193
790,270,15,-15,178
805,255,15,-15,169
820,240,15,-15,163
835,225,15,-15,156
850,210,15,-15,148
865,195,15,-15,143
880,180,15,-15,137
895,165,15,-15,134
910,150,15,-15,126
925,135,15,-15,122
940,120,15,-15,122
955,105,15,-15,123
970,90,15,-15,124
985,75,15,-15,125
1000,60,15,-15,126
1015,45,15,-15,127
1015,45,15,15,128
1030,60,15,15,131
1045,75,15,15,138
1060,90,15,15,144
1075,105,15,15,145
1090,120,15,15,146
1105,135,15,15,147
1120,150,15,15,148
1135,165,15,15,151
1150,180,15,15,168
1150,180,-15,15,189
1135,195,-15,15,195
1120,210,-15,15,197
1105,225,-15,15,201
1090,240,-15,15,206
1075,255,-15,15,214
1060,270,-15,15,226
1045,285,-15,15,235
1030,300,-15,15,239
1015,315,-15,15,244
1000,330,-15,15,253
985,345,-15,15,261
970,360,-15,15,272
955,375,-15,15,287
940,390,-15,15,302
925,405,-15,15,311
910,420,-15,15,318
895,435,-15,15,324
880,450,-15,15,333
865,465,-15,15,341
850,480,-15,15,350
835,495,-15,15,358
820,510,-15,15,369
805,525,-15,15,382
790,540,-15,15,392
775,555,-15,15,400
775,555,-15,-15,409
760,540,-15,-15,417
745,525,-15,-15,427
730,510,-15,-15,432
715,495,-15,-15,432
700,480,-15,-15,432
685,465,-15,-15,432
670,450,-15,-15,432
655,435,-15,-15,432
640,420,-15,-15,432
625,405,-15,-15,432
610,390,-15,-15,432
595,375,-15,-15,432
580,360,-15,-15,432
565,345,-15,-15,432
550,330,-15,-15,432
535,315,-15,-15,432
520,300,-15,-15,432
505,285,-15,-15,432
490,270,-15,-15,432
475,255,-15,-15,432
460,240,-15,-15,432
445,225,-15,-15,432
430,210,-15,-15,432
415,195,-15,-15,432
400,180,-15,-15,432
385,165,-15,-15,432
370,150,-15,-15,432
355,135,-15,-15,432
340,120,-15,-15,432
325,105,-15,-15,432
310,90,-15,-15,432
295,75,-15,-15,432
280,60,-15,-15,432
265,45,-15,-15,432
265,45,-15,15,432
250,60,-15,15,432
235,75,-15,15,432
220,90,-15,15,432
205,105,-15,15,432
190,120,-15,15,432
175,135,-15,15,432
160,150,-15,15,432
145,165,-15,15,432
130,180,-15,15,432
115,195,-15,15,432
100,210,-15,15,432
85,225,-15,15,432
70,240,-15,15,432
55,255,-15,15,432
40,270,-15,15,432
40,270,15,15,432
55,285,15,15,432
70,300,15,15,432
85,315,15,15,432
100,330,15,15,432
115,345,15,15,432
130,360,15,15,432
145,375,15,15,432
160,390,15,15,432
175,405,15,15,432
190,420,15,15,432
205,435,15,15,432
220,450,15,15,432
235,465,15,15,432
250,480,15,15,432
265,495,15,15,432
280,510,15,15,432
295,525,15,15,432
310,540,15,15,432
325,555,15,15,432
325,555,15,-15,432
340,540,15,-15,432
355,525,15,-15,431
370,510,15,-15,430
385,495,15,-15,429
400,480,15,-15,428
415,465,15,-15,428
430,450,15,-15,428
445,435,15,-15,426
460,420,15,-15,426
475,405,15,-15,425
